date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-01 16:40:58,jeremycorbyn,,1931,4660,26942,"We'll make this country the best in the world for walking and cycling. How? ‍Safe cycle and walking routes to 10,000 primary schools Build 5,000km of cycleways Training for all primary school children &amp; parents Grants for e-bikes Real change.",,,,1201179391545528320,https://twitter.com/jeremycorbyn/status/1201179391545528320
2019-12-01 15:56:05,jeremycorbyn,,1420,12996,29932,"""We try not to eat a lot in one day, even though most of us are really hungry."" This sentence should never be uttered by any child, let alone one living in the 5th richest country in the world. Make no mistake, the Tories are responsible for this.",,,,1201168095295033346,https://twitter.com/jeremycorbyn/status/1201168095295033346
2019-12-01 15:04:34,jeremycorbyn,,2822,17683,56085,"Sixteen years ago, I warned the invasion and occupation of Iraq would set off a spiral of conflict and hate that would fuel the wars, terrorism and misery of future generations.",,,,1201155131150151680,https://twitter.com/jeremycorbyn/status/1201155131150151680
2019-12-01 14:13:48,jeremycorbyn,,92,450,1855,"Thank you to human rights defenders Betty, Urooj, Laize and Marilyn for coming to our international speech in York. You do such vital and courageous work securing human rights in Nigeria, Pakistan and Brazil.",,,,1201142356671651840,https://twitter.com/jeremycorbyn/status/1201142356671651840
2019-12-01 13:31:25,jeremycorbyn,,742,3034,16061,"We all feel hurt by the awful attack on London Bridge. Those individual strands of compassion become the ties that connect us. It is those ties, millions woven together, that make up the fabric of our society. We will not let those ties be broken.",,,,1201131688933416960,https://twitter.com/jeremycorbyn/status/1201131688933416960
2019-12-01 11:15:54,jeremycorbyn,,697,3785,13523,"They told us people won't come out in a winter General Election...",,,,1201097585987076098,https://twitter.com/jeremycorbyn/status/1201097585987076098
2019-12-01 10:56:48,jeremycorbyn,,281,1937,5367,"In their memory we will build that world of decency and justice.",,,,1201092779436396544,https://twitter.com/jeremycorbyn/status/1201092779436396544
2019-12-01 10:15:39,jeremycorbyn,,803,7884,14925,"For those that say the Tories would not sell our NHS - they’ve already begun.",,,,1201082425671065600,https://twitter.com/jeremycorbyn/status/1201082425671065600
2019-12-01 09:46:19,jeremycorbyn,,216,1763,4556,"We can’t go on like this. #Ridge",,,#Ridge,1201075043582783488,https://twitter.com/jeremycorbyn/status/1201075043582783488
2019-12-01 08:27:00,jeremycorbyn,,874,9405,23368,"How many nurses? #Marr #Ridge",,,#Marr #Ridge,1201055079756779520,https://twitter.com/jeremycorbyn/status/1201055079756779520
2019-12-01 07:31:00,jeremycorbyn,,153,2378,7576,"Today we remember those who have lost their lives to AIDS-related illness, and we look to a future without HIV and without stigma. #WorldAIDSDay",,,#WorldAIDSDay,1201040987025559552,https://twitter.com/jeremycorbyn/status/1201040987025559552
