date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 13:25:00,BorisJohnson,,1716,1609,8026,"We’re having this election because Parliament couldn’t get anything done. Only the Conservatives can get Brexit done and get Parliament working again, on the issues that matter to you.",,,,1204391564832911362,https://twitter.com/BorisJohnson/status/1204391564832911362
2019-12-10 12:26:00,BorisJohnson,,1093,671,2861,"We must respect the result of the EU Referendum. Back me to get Brexit done by voting Conservative on Thursday.",,,,1204376717118210048,https://twitter.com/BorisJohnson/status/1204376717118210048
2019-12-10 12:05:00,BorisJohnson,,511,408,1994,"Only two more days to go. Let’s get Brexit done.",,,,1204371432647598081,https://twitter.com/BorisJohnson/status/1204371432647598081
2019-12-10 11:14:12,BorisJohnson,,2459,2975,10420,"Jonathan Ashworth is saying what hundreds of Labour candidates and millions of voters are thinking. Jeremy Corbyn is unfit to be PM because he is blocking Brexit. Only a vote for @Conservatives will break the deadlock &amp; #GetBrexitDone so we can focus on the people’s priorities.",,@Conservatives,#GetBrexitDone,1204358650128740352,https://twitter.com/BorisJohnson/status/1204358650128740352
2019-12-10 11:09:00,BorisJohnson,,359,364,1734,"Vote Conservative to get Brexit done.",,,,1204357339253362689,https://twitter.com/BorisJohnson/status/1204357339253362689
2019-12-10 11:03:00,BorisJohnson,,967,1475,8061,"2 days to go! Let’s do this.",,,,1204355829584891905,https://twitter.com/BorisJohnson/status/1204355829584891905
2019-12-10 10:24:00,BorisJohnson,,1045,1000,5659,"Let’s get Brexit done. Let’s get on with the country’s priorities and unleash the potential of the whole of the UK.",,,,1204346014636756992,https://twitter.com/BorisJohnson/status/1204346014636756992
2019-12-10 09:17:13,BorisJohnson,,350,880,3179,"It was a pleasure this weekend to return to the breathtaking @NeasdenTemple with my good friend @patel4witham",,@NeasdenTemple @patel4witham,,1204329210963210240,https://twitter.com/BorisJohnson/status/1204329210963210240
2019-12-10 08:35:00,BorisJohnson,,556,479,2136,"We have 2 days to get Brexit done and unleash Britain’s potential.",,,,1204318584056487936,https://twitter.com/BorisJohnson/status/1204318584056487936
2019-12-10 07:04:00,BorisJohnson,,1775,1307,9110,"Let's get Brexit done!",,,,1204295683219443712,https://twitter.com/BorisJohnson/status/1204295683219443712
2019-12-09 21:36:51,BorisJohnson,,8846,13810,40282,"Brexit, actually.",,,,1204152954934177792,https://twitter.com/BorisJohnson/status/1204152954934177792
2019-12-09 20:30:00,BorisJohnson,,1175,1503,7185,"Thank you so much for all of your support so far. Just 3 days to go. Let’s get Brexit done!",,,,1204136131761016832,https://twitter.com/BorisJohnson/status/1204136131761016832
2019-12-09 20:03:00,BorisJohnson,,837,506,3610,"We’re ready to get this done.",,,,1204129337055694848,https://twitter.com/BorisJohnson/status/1204129337055694848
2019-12-09 19:10:00,BorisJohnson,,861,768,3865,"Back me to get Brexit done. Vote Conservative this Thursday.",,,,1204115999227883522,https://twitter.com/BorisJohnson/status/1204115999227883522
2019-12-09 18:44:35,BorisJohnson,,181,386,2030,"Devastating scenes in New Zealand. I’ve been in contact with Prime Minister @jacindaardern to express our deepest sympathies. There are many people still feared missing, and my heart goes out to all those affected and their families.",,@jacindaardern,,1204109605456023553,https://twitter.com/BorisJohnson/status/1204109605456023553
2019-12-09 16:44:00,BorisJohnson,,801,640,2958,"Let's get Brexit done.",,,,1204079257154015233,https://twitter.com/BorisJohnson/status/1204079257154015233
2019-12-09 15:04:00,BorisJohnson,,608,283,1415,"We’ve got 3 days to get Brexit done.",,,,1204054091481042944,https://twitter.com/BorisJohnson/status/1204054091481042944
2019-12-09 14:48:10,BorisJohnson,,672,1901,9432,"We mourn the passing of Maurice Mounsdon. We should never forget that it was thanks to the bravery of this tiny band of pilots that Britain - and the rest of Europe - was safe from tyranny.",,,,1204050105730584576,https://twitter.com/BorisJohnson/status/1204050105730584576
2019-12-09 14:03:00,BorisJohnson,,1471,1812,9314,"When we leave the EU, we will implement an Australian style, points-based immigration system.",,,,1204038740340903936,https://twitter.com/BorisJohnson/status/1204038740340903936
2019-12-09 13:30:00,BorisJohnson,,504,490,2287,"Let’s get it done folks. Vote Conservative on Thursday.",,,,1204030436092956672,https://twitter.com/BorisJohnson/status/1204030436092956672
2019-12-09 13:10:00,BorisJohnson,,544,368,1530,"Let’s get Brexit done and deliver on the priorities of the British people.",,,,1204025402303373313,https://twitter.com/BorisJohnson/status/1204025402303373313
2019-12-09 12:03:00,BorisJohnson,,561,410,1711,"We will get Brexit done, invest in our NHS, schools and police, and cut taxes for you and your family.",,,,1204008541285040133,https://twitter.com/BorisJohnson/status/1204008541285040133
2019-12-09 10:55:00,BorisJohnson,,472,432,1826,"I want a future where Brexit is done and we’re focusing on the issues that matter to you and your family.",,,,1203991428080123904,https://twitter.com/BorisJohnson/status/1203991428080123904
2019-12-09 10:30:00,BorisJohnson,,509,531,1700,"Our NHS will never be on the table for any trade negotiations. We’re investing more than ever before - and when we leave the EU, we will introduce an Australian style, points-based immigration system so the NHS can plan for the future.",,,,1203985136640876544,https://twitter.com/BorisJohnson/status/1203985136640876544
2019-12-09 10:15:49,BorisJohnson,,822,1213,5417,"Let's get Brexit done and take back control of our fishing waters.",,,,1203981568055947264,https://twitter.com/BorisJohnson/status/1203981568055947264
2019-12-09 10:07:00,BorisJohnson,,377,435,1771,"Let’s get Brexit done and get on with making this country the best place in the world to live.",,,,1203979348610404353,https://twitter.com/BorisJohnson/status/1203979348610404353
2019-12-09 09:39:00,BorisJohnson,,979,1152,4915,"We will get Brexit done and get Parliament working on your priorities: the NHS, the cost of living, 20,000 more police officers, more cash for our schools. Let’s get it done and move on. Vote Conservative on Thursday.",,,,1203972302175490048,https://twitter.com/BorisJohnson/status/1203972302175490048
2019-12-09 09:05:00,BorisJohnson,,359,379,1589,"The only way to move this country forward is with a majority Conservative government. We will pass the Brexit deal and get Parliament working for you again.",,,,1203963745984106497,https://twitter.com/BorisJohnson/status/1203963745984106497
2019-12-09 08:51:00,BorisJohnson,,526,726,3292,"At Grimsby Fish Market this morning. Our new Brexit deal means we will take back control of our fishing waters and support our fantastic fishing industries.",,,,1203960224178151425,https://twitter.com/BorisJohnson/status/1203960224178151425
2019-12-09 08:04:00,BorisJohnson,,517,572,2661,"We’ve got 3 days to get Brexit done! Let’s do it.",,,,1203948394894561280,https://twitter.com/BorisJohnson/status/1203948394894561280
2019-12-08 21:05:00,BorisJohnson,,2423,1457,10603,"Let's get Brexit done!",,,,1203782552286375937,https://twitter.com/BorisJohnson/status/1203782552286375937
2019-12-08 20:05:00,BorisJohnson,,608,408,1847,"I want us to get this thing done, so that we can get Parliament working on the issues that matter to you and your family.",,,,1203767452523323392,https://twitter.com/BorisJohnson/status/1203767452523323392
2019-12-08 19:04:00,BorisJohnson,,1238,604,3224,"I want us to get Brexit done so that we can focus our hearts and minds on the priorities of the British people.",,,,1203752101714833409,https://twitter.com/BorisJohnson/status/1203752101714833409
2019-12-08 18:23:00,BorisJohnson,,796,1092,4590,"Let's end the chaos and uncertainty. Let's get Brexit done with a one nation Conservative Government and take this country forwards.",,,,1203741783219261440,https://twitter.com/BorisJohnson/status/1203741783219261440
2019-12-08 17:36:00,BorisJohnson,,1226,1230,7382,"We live in a great country, and we can make it greater still. Together we’ll end the uncertainty and get Brexit done.",,,,1203729955290406912,https://twitter.com/BorisJohnson/status/1203729955290406912
2019-12-08 15:16:00,BorisJohnson,,554,507,2341,"4 days to go folks!",,,,1203694723233390593,https://twitter.com/BorisJohnson/status/1203694723233390593
2019-12-08 14:07:00,BorisJohnson,,426,438,2057,"It’s time for our country to move forward.",,,,1203677358965829632,https://twitter.com/BorisJohnson/status/1203677358965829632
2019-12-08 13:13:00,BorisJohnson,,925,882,5399,"4 days to go - let's get Brexit done!",,,,1203663769634836480,https://twitter.com/BorisJohnson/status/1203663769634836480
2019-12-08 12:30:29,BorisJohnson,,2564,923,7478,"Team selfie! Let’s get Brexit done ",,,,1203653072427343874,https://twitter.com/BorisJohnson/status/1203653072427343874
2019-12-08 12:26:04,BorisJohnson,,459,540,2171,"End the uncertainty. Avoid another hung parliament. #VoteConservative",,,#VoteConservative,1203651959850491908,https://twitter.com/BorisJohnson/status/1203651959850491908
2019-12-08 12:19:00,BorisJohnson,,2230,1898,9464,"We can’t afford another chaotic hung parliament – with Jeremy Corbyn in charge of nothing except more arguments. So let’s get Brexit done. Let’s get on with the country’s priorities and unleash the potential of the whole of the UK.",,,,1203650179628318722,https://twitter.com/BorisJohnson/status/1203650179628318722
2019-12-08 11:06:00,BorisJohnson,,502,404,1746,"I want a future where Brexit is done and we’re focusing on the issues that matter to you and your family.",,,,1203631808660656131,https://twitter.com/BorisJohnson/status/1203631808660656131
2019-12-08 10:05:00,BorisJohnson,,603,629,2929,"We must respect the result of the EU Referendum. Back me to get Brexit done by voting Conservative on December 12th.",,,,1203616457688522752,https://twitter.com/BorisJohnson/status/1203616457688522752
2019-12-08 09:49:19,BorisJohnson,,1480,3305,13318,"This week I visited a wonderful bakery in North London, where the message was clear - let’s get on with it and get Brexit done!",,,,1203612512366866434,https://twitter.com/BorisJohnson/status/1203612512366866434
